DATE,PRCP,SNOW,TMAX,TMIN,AVG_Temp
12/24/2000,0,0,-0.6,-5,-2.8
12/25/2000,0,0,-2.8,-9.4,-6.1
12/26/2000,0,0,-1.1,-10,-5.55
12/27/2000,0,0,0,-6.1,-3.05
12/28/2000,0,0,-2.8,-7.2,-5
12/29/2000,0,0,-1.1,-8.3,-4.7
12/30/2000,23.4,305,-0.6,-4.4,-2.5
12/31/2000,0,0,-1.1,-3.9,-2.5
1/1/2001,0,0,0,-5,-2.5
1/2/2001,0,0,-2.8,-7.2,-5
1/3/2001,0,0,-0.6,-7.8,-4.2
1/4/2001,0,0,1.1,-3.9,-1.4
1/5/2001,4.8,46,0.6,-4.4,-1.9
1/6/2001,0,0,4.4,-1.1,1.65
1/7/2001,0,0,6.1,-1.7,2.2
1/8/2001,8.1,0,4.4,1.1,2.75
1/9/2001,0,0,1.1,-3.3,-1.1
1/10/2001,0,0,0.6,-5.6,-2.5
1/11/2001,0,0,7.8,-1.1,3.35
1/12/2001,0,0,5.6,-1.1,2.25
1/13/2001,0,0,4.4,-1.1,1.65
1/14/2001,0,0,6.1,1.1,3.6
1/15/2001,7.1,0,5,1.1,3.05
1/16/2001,0,0,7.2,2.2,4.7
1/17/2001,0,0,5.6,2.2,3.9
1/18/2001,0.8,0,2.8,0,1.4
1/19/2001,21.1,0,3.9,1.7,2.8
1/20/2001,6.1,0,2.8,-1.1,0.85
1/21/2001,11.7,152,0.6,-5.6,-2.5
1/22/2001,0,0,2.2,-5.6,-1.7
1/23/2001,0,0,2.8,-3.3,-0.25
1/24/2001,0,0,6.1,-1.1,2.5
1/25/2001,0,0,3.9,-3.9,0
1/26/2001,0,0,2.2,-6.1,-1.95
1/27/2001,1,13,5,-1.7,1.65
1/28/2001,0,0,2.8,-1.7,0.55
1/29/2001,0,0,3.3,-3.3,0
1/30/2001,19.3,0,12.2,2.2,7.2
1/31/2001,0.3,0,9.4,4.4,6.9
2/1/2001,0,0,9.4,3.3,6.35
2/2/2001,0.5,0,7.2,-2.8,2.2
2/3/2001,0,0,0.6,-3.3,-1.35
2/4/2001,0,0,2.8,-4.4,-0.8
2/5/2001,17.8,89,2.2,0,1.1
2/6/2001,0,0,7.2,2.2,4.7
2/7/2001,0,0,6.7,1.1,3.9
2/8/2001,0,0,5,0,2.5
2/9/2001,0,0,14.4,2.2,8.3
2/10/2001,0.3,0,16.1,-2.8,6.65
2/11/2001,0,0,0,-6.7,-3.35
2/12/2001,0.5,5,1.7,-8.9,-3.6
2/13/2001,0,0,9.4,0,4.7
2/14/2001,0,0,8.3,2.8,5.55
2/15/2001,1,0,8.3,3.3,5.8
2/16/2001,8.1,0,4.4,1.1,2.75
2/17/2001,0,0,3.3,-6.1,-1.4
2/18/2001,0,0,0,-7.8,-3.9
2/19/2001,0,0,6.1,-3.3,1.4
2/20/2001,0,0,12.8,3.9,8.35
2/21/2001,0,0,11.1,-6.7,2.2
2/22/2001,7.9,140,-3.9,-8.3,-6.1
2/23/2001,0.3,8,4.4,-6.1,-0.85
2/24/2001,0,0,1.7,-3.9,-1.1
2/25/2001,13.2,0,11.7,0.6,6.15
2/26/2001,0,0,11.7,1.7,6.7
2/27/2001,0,0,9.4,-0.6,4.4
2/28/2001,0,0,2.2,-3.3,-0.55
3/1/2001,0,0,2.8,-4.4,-0.8
3/2/2001,1,0,5.6,-0.6,2.5
3/3/2001,0,0,8.3,2.8,5.55
3/4/2001,1.3,0,2.8,-1.7,0.55
3/5/2001,10.9,51,0,-2.2,-1.1
3/6/2001,3.6,38,1.7,-3.9,-1.1
3/7/2001,0,0,6.1,0,3.05
3/8/2001,0,0,4.4,0,2.2
3/9/2001,9.4,0,5.6,1.1,3.35
3/10/2001,0,0,7.2,1.1,4.15
3/11/2001,0,0,12.8,0,6.4
3/12/2001,0.3,0,8.9,-1.1,3.9
