,Actuals,0
4017,4.2,3.0884902
4018,3.9,5.1798286
4019,-3.0500000000000003,3.8509343
4020,1.1,-1.4669368
4021,10.55,7.705265
4022,11.1,11.253066
4023,6.4,9.151162
4024,3.6,6.7567387
4025,4.15,5.4872417
4026,7.5,7.5674953
4027,8.600000000000001,10.267953
4028,8.3,9.451827
4029,8.35,8.359973
4030,5.0,8.332267
4031,4.7,7.296874
4032,8.6,7.468729
4033,12.5,9.867011
4034,17.8,11.953455
4035,9.15,12.646044
4036,5.85,6.1095695
4037,4.7,6.0697823
4038,7.2,5.9640465
4039,2.2,7.7953568
4040,2.8,1.1741979
4041,1.6999999999999995,4.566634
4042,0.5500000000000003,0.37201
4043,2.5,1.7182145
4044,1.95,3.2134023
4045,4.4,3.8160124
4046,6.949999999999998,6.04025
4047,4.449999999999998,6.835491
4048,4.2,5.356167
4049,8.05,6.1249657
4050,10.0,8.748167
4051,11.65,9.115417
4052,12.2,11.954479
4053,8.05,11.981513
4054,8.35,8.065764
4055,7.5,11.020681
4056,9.4,9.145121
4057,10.55,11.774582
4058,18.6,11.478734
4059,14.7,13.807248
4060,8.05,10.457055
4061,14.75,9.021795
4062,9.15,13.271707
4063,8.9,8.337675
4064,13.05,11.06392
4065,12.75,13.571554
4066,10.0,11.276107
4067,12.75,10.898753
4068,11.65,14.864474
4069,7.5,11.671401
4070,11.1,10.815858
4071,19.45,14.724946
4072,18.6,19.13435
4073,20.25,15.817918
4074,20.0,16.66054
4075,19.15,15.619326
4076,16.4,16.362474
4077,14.7,14.1782875
4078,15.3,14.55869
4079,13.6,15.372905
4080,18.35,13.874194
4081,12.8,15.800908
4082,13.05,12.522706
4083,16.1,14.291427
4084,17.5,16.971634
4085,17.2,15.877958
4086,16.95,15.967931
4087,17.799999999999994,15.352081
4088,16.4,16.449009
4089,17.2,15.777152
4090,15.25,16.16396
4091,15.85,14.8761215
4092,17.5,15.843726
4093,14.2,17.773045
4094,13.35,14.5915
4095,15.8,14.455205
4096,19.75,16.368933
4097,15.85,18.714705
4098,19.200000000000006,15.127999
4099,13.3,16.662748
4100,16.1,13.243214
4101,23.05,17.269161
4102,23.6,24.643969
4103,21.700000000000006,21.58998
4104,23.3,20.365265
4105,24.15,22.30589
4106,23.6,22.948973
4107,25.55,22.480055
4108,26.15,24.3001
4109,26.4,24.657347
4110,21.7,25.383017
4111,19.15,19.625074
4112,19.45,19.125963
4113,17.200000000000006,19.702772
4114,21.4,18.781376
4115,24.75,22.39763
4116,28.6,24.231043
4117,27.8,26.465673
4118,25.85,25.684092
4119,18.6,24.629423
4120,18.85,17.64825
4121,19.2,18.892065
4122,18.3,19.427984
4123,20.8,19.855524
4124,22.8,21.906153
4125,21.1,22.52925
4126,23.05,21.514635
4127,24.450000000000006,23.437876
4128,23.3,24.039665
4129,24.450000000000006,23.144815
4130,24.2,24.268492
4131,20.3,23.147955
4132,19.700000000000006,19.516161
4133,22.25,20.158209
4134,22.5,23.233152
4135,23.35,22.976103
4136,25.25,23.991587
4137,24.200000000000006,25.310648
4138,23.05,23.857616
4139,22.75,23.166151
4140,25.0,22.95743
4141,21.950000000000006,25.228355
4142,25.55,21.003593
4143,25.85,24.037527
4144,27.25,24.899126
4145,28.3,26.837765
4146,24.7,27.295345
4147,25.25,23.961376
4148,25.0,25.123589
4149,28.05,24.69739
4150,29.75,26.89662
4151,25.3,27.638699
4152,23.35,24.511835
4153,24.75,23.864056
4154,26.65,25.618147
4155,27.5,27.251207
4156,29.45,27.405725
4157,29.15,27.787104
4158,27.8,27.715347
4159,30.0,27.0473
4160,34.45,27.660244
4161,33.05,27.89765
4162,29.2,27.97292
4163,23.35,27.791111
4164,26.4,22.778078
4165,24.45,24.951937
4166,26.15,23.942595
4167,25.3,25.930353
4168,28.05,24.694342
4169,27.25,26.591784
4170,28.05,26.217432
4171,27.8,27.414751
4172,25.25,27.119375
4173,24.15,24.781319
4174,25.55,24.102255
4175,25.8,25.699286
4176,27.25,25.800768
4177,27.75,27.101107
4178,25.0,27.348135
4179,25.55,24.444664
4180,24.200000000000006,25.156242
4181,23.35,23.684237
4182,25.0,23.580458
4183,20.8,24.814634
4184,22.5,20.247007
4185,21.950000000000006,22.857496
4186,24.45,21.684643
4187,23.85,24.470232
4188,23.6,22.866972
4189,23.6,23.332266
4190,25.0,22.918253
4191,21.65,24.09838
4192,21.1,19.977697
4193,23.05,21.048288
4194,23.9,22.598093
4195,25.0,23.177065
4196,23.65,23.937311
4197,21.1,22.307741
4198,20.0,20.40515
4199,21.950000000000006,19.533712
4200,23.3,22.161085
4201,23.6,22.61647
4202,21.950000000000006,22.868565
4203,23.6,20.803606
4204,26.1,23.224535
4205,24.7,24.453518
4206,19.75,23.123016
4207,18.35,17.594135
4208,21.65,18.03746
4209,24.15,21.527517
4210,23.35,22.593668
4211,19.75,22.10472
4212,22.8,17.823343
4213,23.6,22.246326
4214,25.25,21.614435
4215,18.05,23.361593
4216,14.45,16.195646
4217,15.0,14.882094
4218,15.85,15.273742
4219,15.55,16.034029
4220,18.05,15.524713
4221,20.0,17.851334
4222,23.35,19.38204
4223,21.700000000000006,21.81126
4224,22.75,19.038439
4225,23.9,21.207064
4226,23.35,21.44687
4227,22.8,21.489944
4228,21.65,21.16798
4229,19.450000000000006,20.056173
4230,19.4,17.93554
4231,14.7,18.737482
4232,13.9,13.342841
4233,11.65,14.321122
4234,13.3,12.721607
4235,16.7,15.133975
4236,13.85,16.889833
4237,13.9,13.455483
4238,18.6,14.410384
4239,22.25,18.60673
4240,21.65,19.700796
4241,19.75,18.897333
4242,15.8,16.463829
4243,16.65,13.68243
4244,17.5,15.798804
4245,15.25,15.687835
4246,15.55,14.051989
4247,16.1,14.717509
4248,16.1,15.152673
4249,16.15,14.898028
4250,15.8,14.767207
4251,11.65,14.123656
4252,11.95,11.016397
4253,12.5,12.317977
4254,13.05,11.895091
4255,13.35,12.245439
4256,13.65,12.510817
4257,9.7,11.542944
4258,5.800000000000002,8.364795
4259,3.9,6.234745
4260,4.2,4.0918326
4261,7.25,6.882269
4262,10.0,8.150376
4263,9.75,9.676045
4264,11.4,9.20149
4265,8.35,9.724627
4266,5.800000000000002,7.732253
4267,7.75,7.0452614
4268,11.95,8.879212
4269,15.85,11.682445
4270,14.45,14.376086
4271,13.85,11.910861
4272,6.95,10.8372965
4273,8.9,6.21436
4274,12.2,11.349791
4275,16.4,11.617139
4276,16.35,14.11815
4277,13.35,12.227158
4278,8.05,9.70624
4279,5.0,7.0703917
4280,6.949999999999998,5.8184814
4281,13.85,9.055861
4282,11.4,12.378117
4283,8.05,9.547264
4284,7.8,7.3406677
4285,7.5,7.8813524
4286,11.95,8.537674
4287,14.15,11.932193
4288,12.75,12.833554
4289,17.200000000000006,10.760682
4290,14.75,14.101186
4291,8.6,11.115933
4292,6.4,7.303255
4293,7.5,6.9193077
4294,5.550000000000002,7.9328938
4295,9.2,5.7347383
4296,11.65,11.421378
4297,15.0,10.046624
4298,11.15,13.429179
4299,4.7,8.180996
4300,6.65,4.751793
4301,3.9,8.885355
4302,1.1,3.3938274
4303,3.65,2.897071
4304,4.15,4.5784492
4305,6.1,3.177151
4306,11.65,7.4258356
4307,10.0,8.87923
4308,2.5,5.75622
4309,-3.1,1.5248498
4310,3.0500000000000003,-0.31357837
4311,6.95,4.4398746
4312,11.15,7.163948
4313,11.65,10.470746
4314,5.55,5.343169
4315,0.2500000000000001,3.543932
4316,3.6,0.44014025
4317,5.25,4.8457146
4318,8.6,6.063015
4319,4.7,7.268015
4320,-0.5500000000000003,1.3034546
4321,6.699999999999998,0.9588828
4322,10.0,8.968452
4323,8.05,6.035557
4324,5.3,6.6206894
4325,-4.4,2.5217934
4326,-6.699999999999998,-3.7392662
4327,0.8000000000000003,-1.3700318
4328,6.699999999999998,2.4741466
4329,12.25,5.833009
4330,4.2,7.491172
4331,2.2,-0.30469465
4332,4.45,2.5912213
4333,5.85,4.5198097
4334,6.1,5.007079
4335,3.9,5.488064
4336,-1.4,2.2819538
4337,-6.1,-1.5888231
4338,-3.3000000000000003,-3.5106552
4339,6.949999999999998,1.0052559
4340,3.9,6.646591
4341,-1.95,1.4024391
4342,-1.1,-0.95937204
4343,-3.65,-0.03241968
